"seqnames"	"start"	"end"	"width"	"strand"	"name"	"gieStain"	"wilcoxon.p.values"	"is.hyper"	"bonferroni"	"fdr"	"norm.rate"	"tumor.rate"
"chr1"	1	2300000	2300000	"*"	"p36.33"	"gneg"	0.765829643368155	FALSE	1	0.997251705728521	0.173479913043478	0.177195486956522
"chr1"	2300001	5400000	3100000	"*"	"p36.32"	"gpos25"	0.231323445056168	FALSE	1	0.997251705728521	0.138838012903226	0.124517464516129
"chr1"	5400001	7200000	1800000	"*"	"p36.31"	"gneg"	0.923892470513514	FALSE	1	0.997251705728521	0.0981943555555556	0.0967877444444444
"chr1"	7200001	9200000	2000000	"*"	"p36.23"	"gpos25"	0.950710425983859	TRUE	1	0.997251705728521	0.05555318	0.05556532
"chr1"	9200001	12700000	3500000	"*"	"p36.22"	"gneg"	0.731756143276073	TRUE	1	0.997251705728521	0.0672805371428571	0.0700457028571429
"chr1"	12700001	16200000	3500000	"*"	"p36.21"	"gpos50"	0.288195596398079	TRUE	1	0.997251705728521	0.0302719542857143	0.0337547428571429
"chr1"	16200001	20400000	4200000	"*"	"p36.13"	"gneg"	0.434736291327013	TRUE	1	0.997251705728521	0.0448126571428571	0.0476168904761905
"chr1"	20400001	23900000	3500000	"*"	"p36.12"	"gpos25"	0.923892470513514	TRUE	1	0.997251705728521	0.0391134514285714	0.0393901428571429
"chr1"	23900001	28000000	4100000	"*"	"p36.11"	"gneg"	0.86170438687502	TRUE	1	0.997251705728521	0.0348850731707317	0.0369058975609756
"chr1"	28000001	30200000	2200000	"*"	"p35.3"	"gpos25"	0.897160749960968	TRUE	1	0.997251705728521	0.0273901090909091	0.0289077818181818
"chr1"	30200001	32400000	2200000	"*"	"p35.2"	"gneg"	0.86170438687502	TRUE	1	0.997251705728521	0.0207186	0.0209570363636364
"chr1"	32400001	34600000	2200000	"*"	"p35.1"	"gpos25"	0.547648120131863	TRUE	1	0.997251705728521	0.0249838363636364	0.0271885090909091
"chr1"	34600001	40100000	5500000	"*"	"p34.3"	"gneg"	0.657084753096432	TRUE	1	0.997251705728521	0.0226526181818182	0.0243164
"chr1"	40100001	44100000	4000000	"*"	"p34.2"	"gpos25"	0.454824874407985	TRUE	1	0.997251705728521	0.02718302	0.02938249
"chr1"	44100001	46800000	2700000	"*"	"p34.1"	"gneg"	0.402419623460529	TRUE	1	0.997251705728521	0.0292143111111111	0.0327253111111111
"chr1"	46800001	50700000	3900000	"*"	"p33"	"gpos75"	0.133508109051942	TRUE	1	0.885261461559802	0.010915558974359	0.0126970564102564
"chr1"	50700001	56100000	5400000	"*"	"p32.3"	"gneg"	0.540189059986917	TRUE	1	0.997251705728521	0.0248626592592593	0.0269299555555556
"chr1"	56100001	59000000	2900000	"*"	"p32.2"	"gpos50"	0.888274534409131	TRUE	1	0.997251705728521	0.00624028965517241	0.00636139310344828
"chr1"	59000001	61300000	2300000	"*"	"p32.1"	"gneg"	0.740228039812967	TRUE	1	0.997251705728521	0.00751125217391304	0.00785798260869565
"chr1"	61300001	68900000	7600000	"*"	"p31.3"	"gpos50"	0.288195596398079	TRUE	1	0.997251705728521	0.0111477052631579	0.0126402473684211
"chr1"	68900001	69700000	800000	"*"	"p31.2"	"gneg"	0.765829643368155	FALSE	1	0.997251705728521	0.004759	0.00471445
"chr1"	69700001	84900000	15200000	"*"	"p31.1"	"gpos100"	0.995516299444868	FALSE	1	1	0.00659034473684211	0.00677372631578947
"chr1"	84900001	88400000	3500000	"*"	"p22.3"	"gneg"	0.482405207166225	TRUE	1	0.997251705728521	0.0115404457142857	0.01250992
"chr1"	88400001	92000000	3600000	"*"	"p22.2"	"gpos75"	0.0215400808638254	TRUE	1	0.515765269572708	0.00822281111111111	0.0108496777777778
"chr1"	92000001	94700000	2700000	"*"	"p22.1"	"gneg"	0.757265755457726	TRUE	1	0.997251705728521	0.0158172888888889	0.0168826074074074
"chr1"	94700001	99700000	5000000	"*"	"p21.3"	"gpos75"	0.70653964359239	TRUE	1	0.997251705728521	0.005773472	0.006155248
"chr1"	99700001	102200000	2500000	"*"	"p21.2"	"gneg"	0.809059791763385	TRUE	1	0.997251705728521	0.0080112	0.008447664
"chr1"	102200001	107200000	5000000	"*"	"p21.1"	"gpos100"	0.145543519012408	FALSE	1	0.908941808011746	0.006838504	0.005728412
"chr1"	107200001	111800000	4600000	"*"	"p13.3"	"gneg"	0.640915088694492	TRUE	1	0.997251705728521	0.0157486347826087	0.016687147826087
"chr1"	111800001	116100000	4300000	"*"	"p13.2"	"gpos50"	0.448071224420112	TRUE	1	0.997251705728521	0.0130359162790698	0.0144061674418605
"chr1"	116100001	117800000	1700000	"*"	"p13.1"	"gneg"	0.268274719722935	TRUE	1	0.997251705728521	0.0166769411764706	0.0183198823529412
"chr1"	117800001	120600000	2800000	"*"	"p12"	"gpos50"	0.00105222531195733	TRUE	0.907018218907218	0.196385779352201	0.00853942857142857	0.0119167714285714
"chr1"	120600001	121500000	900000	"*"	"p11.2"	"gneg"	0.959663679360865	TRUE	1	0.997251705728521	0.0162800444444444	0.0160459333333333
"chr1"	121500001	125000000	3500000	"*"	"p11.1"	"acen"	0.0472905485940276	TRUE	1	0.647054807746854	0	0
"chr1"	125000001	128900000	3900000	"*"	"q11"	"acen"	0.0567780510029168	TRUE	1	0.670447670746771	0	0
"chr1"	128900001	142600000	13700000	"*"	"q12"	"gvar"	0.441374912791363	FALSE	1	0.997251705728521	5.98277372262774e-05	3.95489051094891e-05
"chr1"	142600001	147000000	4400000	"*"	"q21.1"	"gneg"	0.468502694437218	TRUE	1	0.997251705728521	0.00999343636363636	0.0108464954545455
"chr1"	147000001	150300000	3300000	"*"	"q21.2"	"gpos50"	0.000861089727659945	TRUE	0.742259345242873	0.196385779352201	0.0154081939393939	0.0211428909090909
"chr1"	150300001	155000000	4700000	"*"	"q21.3"	"gneg"	0.3422657197206	TRUE	1	0.997251705728521	0.0251951829787234	0.0288710936170213
"chr1"	155000001	156500000	1500000	"*"	"q22"	"gpos50"	0.226971996559418	TRUE	1	0.997251705728521	0.0387198933333333	0.0453203466666667
"chr1"	156500001	159100000	2600000	"*"	"q23.1"	"gneg"	0.616978739208409	TRUE	1	0.997251705728521	0.0134422615384615	0.0144746307692308
"chr1"	159100001	160500000	1400000	"*"	"q23.2"	"gpos50"	0.70653964359239	FALSE	1	0.997251705728521	0.0179468285714286	0.0174598285714286
"chr1"	160500001	165500000	5000000	"*"	"q23.3"	"gneg"	0.371587938950212	TRUE	1	0.997251705728521	0.013654064	0.01559972
"chr1"	165500001	167200000	1700000	"*"	"q24.1"	"gpos50"	0.348008586292695	TRUE	1	0.997251705728521	0.0114453647058824	0.0128519176470588
"chr1"	167200001	170900000	3700000	"*"	"q24.2"	"gneg"	0.0767026250891524	TRUE	1	0.710942611041391	0.00943116756756757	0.0118731891891892
"chr1"	170900001	172900000	2000000	"*"	"q24.3"	"gpos75"	0.383740609500606	TRUE	1	0.997251705728521	0.00830196	0.00910308
"chr1"	172900001	176000000	3100000	"*"	"q25.1"	"gneg"	0.518121212324523	TRUE	1	0.997251705728521	0.0114661806451613	0.0126015870967742
"chr1"	176000001	180300000	4300000	"*"	"q25.2"	"gpos50"	0.518121212324523	TRUE	1	0.997251705728521	0.0125346790697674	0.0135807348837209
"chr1"	180300001	185800000	5500000	"*"	"q25.3"	"gneg"	0.336583824079874	TRUE	1	0.997251705728521	0.0123611054545455	0.0138382145454545
"chr1"	185800001	190800000	5000000	"*"	"q31.1"	"gpos100"	0.555157757994667	FALSE	1	0.997251705728521	0.00840536	0.00783846
"chr1"	190800001	193800000	3000000	"*"	"q31.2"	"gneg"	0.977584328701393	FALSE	1	0.997251705728521	0.00727848	0.00736452
"chr1"	193800001	198700000	4900000	"*"	"q31.3"	"gpos100"	0.844075598282895	TRUE	1	0.997251705728521	0.00835897142857143	0.0086780612244898
"chr1"	198700001	207200000	8500000	"*"	"q32.1"	"gneg"	0.562717361580572	TRUE	1	0.997251705728521	0.0204605976470588	0.0220802541176471
"chr1"	207200001	211500000	4300000	"*"	"q32.2"	"gpos25"	0.278113756683648	TRUE	1	0.997251705728521	0.0110796837209302	0.0123756279069767
"chr1"	211500001	214500000	3000000	"*"	"q32.3"	"gneg"	0.218444907256079	TRUE	1	0.997251705728521	0.01484048	0.0173730533333333
"chr1"	214500001	224100000	9600000	"*"	"q41"	"gpos100"	0.263445949165244	TRUE	1	0.997251705728521	0.0119961291666667	0.0136238145833333
"chr1"	224100001	224600000	500000	"*"	"q42.11"	"gneg"	0.325403180480112	TRUE	1	0.997251705728521	0.02239008	0.02496672
"chr1"	224600001	227000000	2400000	"*"	"q42.12"	"gpos25"	0.0767026250891524	TRUE	1	0.710942611041391	0.0214483333333333	0.0264377916666667
"chr1"	227000001	230700000	3700000	"*"	"q42.13"	"gneg"	0.222679236171869	TRUE	1	0.997251705728521	0.0399971783783784	0.0448197513513513
"chr1"	230700001	234700000	4000000	"*"	"q42.2"	"gpos50"	0.39613355088122	TRUE	1	0.997251705728521	0.02256537	0.024543095
"chr1"	234700001	236600000	1900000	"*"	"q42.3"	"gneg"	0.218444907256079	TRUE	1	0.997251705728521	0.0329735789473684	0.0376361894736842
"chr1"	236600001	243700000	7100000	"*"	"q43"	"gpos75"	0.791689611534464	TRUE	1	0.997251705728521	0.0181119436619718	0.0185460338028169
"chr1"	243700001	249250621	5550621	"*"	"q44"	"gneg"	0.897160749960968	TRUE	1	0.997251705728521	0.0382583498314873	0.0387141438768743
"chr2"	1	4400000	4400000	"*"	"p25.3"	"gneg"	0.555157757994667	FALSE	1	0.997251705728521	0.101757127272727	0.0950033045454545
"chr2"	4400001	7100000	2700000	"*"	"p25.2"	"gpos50"	0.408765129878893	FALSE	1	0.997251705728521	0.0186824888888889	0.0164018222222222
"chr2"	7100001	12200000	5100000	"*"	"p25.1"	"gneg"	0.70653964359239	TRUE	1	0.997251705728521	0.0487360705882353	0.0494855647058824
"chr2"	12200001	16700000	4500000	"*"	"p24.3"	"gpos75"	0.673416574633767	FALSE	1	0.997251705728521	0.0129206044444444	0.0120290577777778
